ID|Titel|Inhalt|Autor|Kategorie|Sentiment|Wortanzahl|Datum|Uhrzeit|Quelle|Shares
250|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|658.0|2024-01-31|19:28|WorldPolitics|3300.0
251|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|777.0|2024-03-14|09:17|CryptoTimes|4900.0
252|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|858.0|2024-11-06|16:30|ScienceToday|1900.0
253|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|590.0|2024-01-50|21:08|HealthWeekly|3200.0
254|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|520.0|2024-03-17|15:26|TechNews|2700.0
255|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1984|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|569.0|2024-03-17|11:12|FinanceDaily|4800.0
256|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|347.0|2024-01-50|10:58|CryptoTimes|3700.0
257|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1983|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
258|Die nächsten Trends im Sportbereich 1983|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-20|00:00|SportExpress|1600.0
259|Die Rolle der künstlichen Intelligenz in der Gesundheit 1983|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|461.0|2024-01-51|09:46|HealthWeekly|3400.0
260|Die nächsten Schritte in der Energiewende 1983|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|539.0|2024-03-20|08:16|EnergyReview|1600.0
261|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|659.0|2024-01-32|19:28|WorldPolitics|3300.0
262|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|778.0|2024-03-20|09:17|CryptoTimes|4900.0
263|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|859.0|2024-11-06|16:30|ScienceToday|1900.0
264|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|591.0|2024-01-51|21:08|HealthWeekly|3200.0
265|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|521.0|2024-03-23|15:26|TechNews|2700.0
266|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1982|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|570.0|2024-03-23|11:11|FinanceDaily|4800.0
267|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|348.0|2024-01-51|10:58|CryptoTimes|3700.0
268|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1981|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
269|Die nächsten Trends im Sportbereich 1981|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-26|00:00|SportExpress|1600.0
270|Die Rolle der künstlichen Intelligenz in der Gesundheit 1981|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|462.0|2024-01-52|09:46|HealthWeekly|3400.0
271|Die nächsten Schritte in der Energiewende 1981|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|540.0|2024-03-26|08:16|EnergyReview|1600.0
272|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|660.0|2024-01-33|19:28|WorldPolitics|3300.0
273|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|779.0|2024-03-26|09:17|CryptoTimes|4900.0
274|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|860.0|2024-11-06|16:30|ScienceToday|1900.0
275|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|592.0|2024-01-52|21:08|HealthWeekly|3200.0
276|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|522.0|2024-03-29|15:26|TechNews|2700.0
277|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1980|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|571.0|2024-03-29|11:10|FinanceDaily|4800.0
278|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|349.0|2024-01-52|10:58|CryptoTimes|3700.0
279|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1979|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
280|Die nächsten Trends im Sportbereich 1979|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-03-31|00:00|SportExpress|1600.0
281|Die Rolle der künstlichen Intelligenz in der Gesundheit 1979|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|463.0|2024-01-53|09:46|HealthWeekly|3400.0
282|Die nächsten Schritte in der Energiewende 1979|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|541.0|2024-03-31|08:16|EnergyReview|1600.0
283|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|661.0|2024-01-34|19:28|WorldPolitics|3300.0
284|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|780.0|2024-03-31|09:17|CryptoTimes|4900.0
285|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|861.0|2024-11-06|16:30|ScienceToday|1900.0
286|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|593.0|2024-01-53|21:08|HealthWeekly|3200.0
287|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|523.0|2024-04-02|15:26|TechNews|2700.0
288|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1978|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|572.0|2024-04-02|11:13|FinanceDaily|4800.0
289|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|350.0|2024-01-53|10:58|CryptoTimes|3700.0
290|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1977|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
291|Die nächsten Trends im Sportbereich 1977|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-04-03|00:00|SportExpress|1600.0
292|Die Rolle der künstlichen Intelligenz in der Gesundheit 1977|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|464.0|2024-01-54|09:46|HealthWeekly|3400.0
293|Die nächsten Schritte in der Energiewende 1977|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|542.0|2024-04-03|08:16|EnergyReview|1600.0
294|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|662.0|2024-01-35|19:28|WorldPolitics|3300.0
295|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|781.0|2024-04-03|09:17|CryptoTimes|4900.0
296|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|862.0|2024-11-06|16:30|ScienceToday|1900.0
297|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|594.0|2024-01-54|21:08|HealthWeekly|3200.0
298|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|524.0|2024-04-06|15:26|TechNews|2700.0
299|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1976|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|573.0|2024-04-06|11:16|FinanceDaily|4800.0
300|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|351.0|2024-01-54|10:58|CryptoTimes|3700.0
301|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1975|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
302|Die nächsten Trends im Sportbereich 1975|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-04-07|00:00|SportExpress|1600.0
303|Die Rolle der künstlichen Intelligenz in der Gesundheit 1975|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|465.0|2024-01-55|09:46|HealthWeekly|3400.0
304|Die nächsten Schritte in der Energiewende 1975|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|543.0|2024-04-07|08:16|EnergyReview|1600.0
305|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|663.0|2024-01-36|19:28|WorldPolitics|3300.0
306|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|782.0|2024-04-07|09:17|CryptoTimes|4900.0
307|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|863.0|2024-11-06|16:30|ScienceToday|1900.0
308|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|595.0|2024-01-55|21:08|HealthWeekly|3200.0
309|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|525.0|2024-04-10|15:26|TechNews|2700.0
310|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1974|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|574.0|2024-04-10|11:18|FinanceDaily|4800.0
311|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|352.0|2024-01-55|10:58|CryptoTimes|3700.0
312|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1973|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
313|Die nächsten Trends im Sportbereich 1973|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-04-11|00:00|SportExpress|1600.0
314|Die Rolle der künstlichen Intelligenz in der Gesundheit 1973|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|466.0|2024-01-56|09:46|HealthWeekly|3400.0
315|Die nächsten Schritte in der Energiewende 1973|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|544.0|2024-04-11|08:16|EnergyReview|1600.0
316|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|664.0|2024-01-37|19:28|WorldPolitics|3300.0
317|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|783.0|2024-04-11|09:17|CryptoTimes|4900.0
318|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|864.0|2024-11-06|16:30|ScienceToday|1900.0
319|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|596.0|2024-01-56|21:08|HealthWeekly|3200.0
320|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|526.0|2024-04-14|15:26|TechNews|2700.0
321|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1972|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|575.0|2024-04-14|11:19|FinanceDaily|4800.0
322|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|353.0|2024-01-56|10:58|CryptoTimes|3700.0
323|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1971|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
324|Die nächsten Trends im Sportbereich 1971|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-04-15|00:00|SportExpress|1600.0
325|Die Rolle der künstlichen Intelligenz in der Gesundheit 1971|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|467.0|2024-01-57|09:46|HealthWeekly|3400.0
326|Die nächsten Schritte in der Energiewende 1971|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|545.0|2024-04-15|08:16|EnergyReview|1600.0
327|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|665.0|2024-01-38|19:28|WorldPolitics|3300.0
328|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|784.0|2024-04-15|09:17|CryptoTimes|4900.0
329|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|865.0|2024-11-06|16:30|ScienceToday|1900.0
330|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|597.0|2024-01-57|21:08|HealthWeekly|3200.0
331|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|527.0|2024-04-18|15:26|TechNews|2700.0
332|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1970|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|576.0|2024-04-18|11:20|FinanceDaily|4800.0
333|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|354.0|2024-01-57|10:58|CryptoTimes|3700.0
334|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1969|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
335|Die nächsten Trends im Sportbereich 1969|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-04-19|00:00|SportExpress|1600.0
336|Die Rolle der künstlichen Intelligenz in der Gesundheit 1969|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|468.0|2024-01-58|09:46|HealthWeekly|3400.0
337|Die nächsten Schritte in der Energiewende 1969|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|546.0|2024-04-19|08:16|EnergyReview|1600.0
338|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|666.0|2024-01-39|19:28|WorldPolitics|3300.0
339|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|785.0|2024-04-19|09:17|CryptoTimes|4900.0
340|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|866.0|2024-11-06|16:30|ScienceToday|1900.0
341|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|598.0|2024-01-58|21:08|HealthWeekly|3200.0
342|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|528.0|2024-04-21|15:26|TechNews|2700.0
343|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1968|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|577.0|2024-04-21|11:22|FinanceDaily|4800.0
344|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|355.0|2024-01-58|10:58|CryptoTimes|3700.0
345|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1967|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
346|Die nächsten Trends im Sportbereich 1967|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-04-22|00:00|SportExpress|1600.0
347|Die Rolle der künstlichen Intelligenz in der Gesundheit 1967|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|469.0|2024-01-59|09:46|HealthWeekly|3400.0
348|Die nächsten Schritte in der Energiewende 1967|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|547.0|2024-04-22|08:16|EnergyReview|1600.0
349|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|667.0|2024-01-40|19:28|WorldPolitics|3300.0
350|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|786.0|2024-04-22|09:17|CryptoTimes|4900.0
351|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|867.0|2024-11-06|16:30|ScienceToday|1900.0
352|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|599.0|2024-01-59|21:08|HealthWeekly|3200.0
353|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|529.0|2024-04-23|15:26|TechNews|2700.0
354|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1966|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|578.0|2024-04-23|11:24|FinanceDaily|4800.0
355|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|356.0|2024-01-59|10:58|CryptoTimes|3700.0
356|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1965|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
357|Die nächsten Trends im Sportbereich 1965|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-04-24|00:00|SportExpress|1600.0
358|Die Rolle der künstlichen Intelligenz in der Gesundheit 1965|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|470.0|2024-01-60|09:46|HealthWeekly|3400.0
359|Die nächsten Schritte in der Energiewende 1965|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|548.0|2024-04-24|08:16|EnergyReview|1600.0
360|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|668.0|2024-01-41|19:28|WorldPolitics|3300.0
361|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|787.0|2024-04-24|09:17|CryptoTimes|4900.0
362|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|868.0|2024-11-06|16:30|ScienceToday|1900.0
363|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|600.0|2024-01-60|21:08|HealthWeekly|3200.0
364|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|530.0|2024-04-25|15:26|TechNews|2700.0
365|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1964|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|579.0|2024-04-25|11:26|FinanceDaily|4800.0
366|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|357.0|2024-01-60|10:58|CryptoTimes|3700.0
367|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1963|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
368|Die nächsten Trends im Sportbereich 1963|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-04-26|00:00|SportExpress|1600.0
369|Die Rolle der künstlichen Intelligenz in der Gesundheit 1963|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|471.0|2024-01-61|09:46|HealthWeekly|3400.0
370|Die nächsten Schritte in der Energiewende 1963|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|549.0|2024-04-26|08:16|EnergyReview|1600.0
371|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|669.0|2024-01-42|19:28|WorldPolitics|3300.0
372|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|788.0|2024-04-26|09:17|CryptoTimes|4900.0
373|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|869.0|2024-11-06|16:30|ScienceToday|1900.0
374|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|601.0|2024-01-61|21:08|HealthWeekly|3200.0
375|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|531.0|2024-04-27|15:26|TechNews|2700.0
376|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1962|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|580.0|2024-04-27|11:28|FinanceDaily|4800.0
377|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|358.0|2024-01-61|10:58|CryptoTimes|3700.0
378|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 1961|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|699.0|2024-12-07|23:59|FinanceDaily|4500.0
379|Die nächsten Trends im Sportbereich 1961|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|899.0|2024-04-28|00:00|SportExpress|1600.0
380|Die Rolle der künstlichen Intelligenz in der Gesundheit 1961|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|472.0|2024-01-62|09:46|HealthWeekly|3400.0
381|Die nächsten Schritte in der Energiewende 1961|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|550.0|2024-04-28|08:16|EnergyReview|1600.0
382|Politische Umbrüche 2000: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|670.0|2024-01-43|19:28|WorldPolitics|3300.0
383|Kryptowährungen 2000: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|789.0|2024-04-28|09:17|CryptoTimes|4900.0
